,Sample_size,Boundary,Percentage,Effect
1,40,H1,0.36,0
2,80,H1,0.79,0
3,120,H1,1.12,0
4,160,H1,1.31,0
5,200,H1,1.51,0
6,40,H0,19.93,0
7,80,H0,47.99,0
8,120,H0,62.67,0
9,160,H0,71.47,0
10,200,H0,77.04,0
11,40,H1,7.46,0.2
12,80,H1,21.97,0.2
13,120,H1,35,0.2
14,160,H1,47.06,0.2
15,200,H1,57.58,0.2
16,40,H0,1.84,0.2
17,80,H0,4.28,0.2
18,120,H0,5.39,0.2
19,160,H0,5.71,0.2
20,200,H0,5.89,0.2
21,40,H1,63.67,0.5
22,80,H1,95.98,0.5
23,120,H1,99.67,0.5
24,160,H1,99.98,0.5
25,200,H1,100,0.5
26,40,H0,0,0.5
27,80,H0,0,0.5
28,120,H0,0,0.5
29,160,H0,0,0.5
30,200,H0,0,0.5
31,40,H1,98.4,0.8
32,80,H1,100,0.8
33,120,H1,100,0.8
34,160,H1,100,0.8
35,200,H1,100,0.8
36,40,H0,0,0.8
37,80,H0,0,0.8
38,120,H0,0,0.8
39,160,H0,0,0.8
40,200,H0,0,0.8